Index,Name,Count
984,$GRAF,62
985,$BCUBE,61
986,$Core,61
987,$ALPHA,61
988,$CELH,61
989,$FXS,61
990,$MDEX,61
991,$SENSO,61
992,$LOCUS,61
993,$MOGUL,61
994,$KOKO,60
995,$WINR,60
996,$TUP,60
997,$MTS,60
998,$CVC,60
999,$NVIR,60
1000,$HOBBES,60
1001,$NQ,60
1002,$BAL,60
1003,$AIEPK,60
1004,$cream,60
1005,$suku,60
1006,$pbr,60
1007,$ftm,59
1008,$PATEX,59
1009,$BRK,59
1010,$DAPPX,59
1011,$BTR,59
1012,$TOTAL,59
1013,$BTM,59
1014,$CSC,59
1015,$UGAS,59
1016,$DEFI,59
1017,$KIZUNA,58
1018,$SPELL,58
1019,$YELLQ,58
1020,$RIDEQ,58
1021,$HODL,58
1022,$HD,58
1023,$INC,58
1024,$BIDU,58
1025,$WLKN,58
1026,$BUM,58
1027,$Penose,58
1028,$TAIKO,58
1029,$EGG,57
1030,$AXGT,57
1031,$HTX,57
1032,$ARPA,57
1033,$ALCX,57
1034,$LBP,57
1035,$AGI,57
1036,$ZELIX,57
1037,$BTCB,57
1038,$SCLP,57
1039,$KISHU,57
1040,$SRM,57
1041,$SLV,57
1042,$COPI,57
1043,$JM,57
1044,$PAW,57
1045,$TOWUR,57
1046,$KMD,56
1047,$credi,56
1048,$KOM,56
1049,$LAZIO,56
1050,$REP,56
1051,$CRPT,56
1052,$XLE,56
1053,$CELR,56
1054,$TSUKA,56
1055,$IQT,56
1056,$NLK,56
1057,$EUL,56
1058,$TOR,56
1059,$APTR,56
1060,$SLK,56
1061,$CHOMP,56
1062,$BOTMAN,55
1063,$Akt,55
1064,$TAROT,55
1065,$CATCH,55
1066,$mog,55
1067,$bepro,55
1068,$WBA,55
1069,$Pi,55
1070,$LAKE,55
1071,$MRNA,55
1072,$BAR,55
1073,$DFYN,55
1074,$SMTY,55
1075,$COIIN,54
1076,$MASK,54
1077,$MDAI,54
1078,$RLB,54
1079,$BST,54
1080,$DATA,54
1081,$MIRX,54
1082,$Jasmy,54
1083,$KARATE,54
1084,$RSTK,54
1085,$farm,54
1086,$kpol,54
1087,$KICKS,54
1088,$AVAIL,54
1089,$FTG,54
1090,$SONNE,53
1091,$SUIP,53
1092,$CWEB,53
1093,$mav,53
1094,$REN,53
1095,$ORFY,53
1096,$GEAR,53
1097,$CPNG,53
1098,$MONI,53
1099,$SQD,53
1100,$CRYPTO,53
1101,$heart,53
1102,$ju,53
1103,$MNW,52
1104,$ROBO,52
1105,$RC,52
1106,$SKYA,52
1107,$FCX,52
1108,$ANF,52
1109,$JUICE,52
1110,$XPR,52
1111,$MOON,52
1112,$ABBC,52
1113,$AMAT,52
1114,$SHARK,52
1115,$WDC,52
1116,$WSDM,52
1117,$trb,52
1118,$PMG,52
1119,$FLM,51
1120,$Solana,51
1121,$ATAI,51
1122,$zeph,51
1123,$LINA,51
1124,$SIMP,51
1125,$SDEX,51
1126,$XNL,51
1127,$TIME,51
1128,$PANDA,51
1129,$RECQ,51
1130,$USDt,51
1131,$LOOKS,51
1132,$T,51
1133,$NEXA,51
1134,$NKE,51
1135,$RIVN,51
1136,$G3,51
1137,$LSS,51
1138,$UFT,51
1139,$BITCOIN,51
1140,$HLG,51
1141,$RLUSD,51
1142,$WATER,51
1143,$Iag,50
1144,$tsla,50
1145,$YLD,50
1146,$AMB,50
1147,$NUM,50
1148,$ZBU,50
1149,$GLD,50
1150,$UAL,50
1151,$C,50
1152,$USDM,50
1153,$PNG,50
1154,$BURGER,50
1155,$MDX,50
1156,$RUNI,50
1157,$PCX,50
1158,$KMA,50
1159,$ARIX,50
1160,$halo,50
1161,$GTT,50
1162,$GAFI,50
1163,$lft,50
1164,$jam,50
1165,$JUV,49
1166,$Agix,49
1167,$DHB,49
1168,$WILD,49
1169,$WEMIX,49
1170,$DGB,49
1171,$PIVX,49
1172,$MIC,49
1173,$XAU,49
1174,$VEMP,49
1175,$ONON,49
1176,$xdc,49
1177,$ET,49
1178,$TRVL,49
1179,$ES,49
1180,$BOOT,49
1181,$TXA,49
1182,$AARK,49
1183,$voya,49
1184,$VAI,48
1185,$ZEN,48
1186,$KPOL,48
1187,$VR,48
